minute,player_id,player,receiver_id,receiver,x,y
55,97710.0,Conor Coady,299693.0,Wout Faes,59.4,24.9
55,299693.0,Wout Faes,416970.0,Victor Kristiansen,60.4,48.4
55,416970.0,Victor Kristiansen,318750.0,Stephy Mavididi,66.2,77.2
55,318750.0,Stephy Mavididi,345664.0,Boubakary Soumaré,82.3,91.4
56,318750.0,Stephy Mavididi,345664.0,Boubakary Soumaré,32.1,93.9
56,99165.0,Danny Ward,416970.0,Victor Kristiansen,9.0,57.5
56,416970.0,Victor Kristiansen,299693.0,Wout Faes,20.4,81.8
56,299693.0,Wout Faes,312670.0,Hamza Choudhury,23.0,59.4
56,312670.0,Hamza Choudhury,143990.0,Harry Winks,27.9,54.0
56,143990.0,Harry Winks,299693.0,Wout Faes,30.9,49.0
56,299693.0,Wout Faes,97710.0,Conor Coady,24.9,41.0
57,143990.0,Harry Winks,318750.0,Stephy Mavididi,62.6,43.0
58,345664.0,Boubakary Soumaré,318750.0,Stephy Mavididi,44.9,72.4
58,318750.0,Stephy Mavididi,345664.0,Boubakary Soumaré,44.7,75.1
58,143990.0,Harry Winks,134332.0,Bobby De Cordova-Reid,45.5,35.1
58,134332.0,Bobby De Cordova-Reid,106981.0,Jamie Vardy,58.3,4.4
58,67491.0,Jordan Ayew,312670.0,Hamza Choudhury,84.3,0.0
59,312670.0,Hamza Choudhury,67491.0,Jordan Ayew,75.8,6.1
59,67491.0,Jordan Ayew,312670.0,Hamza Choudhury,79.8,2.6
59,312670.0,Hamza Choudhury,97710.0,Conor Coady,72.7,6.4
59,97710.0,Conor Coady,318750.0,Stephy Mavididi,65.7,18.0
59,318750.0,Stephy Mavididi,345664.0,Boubakary Soumaré,78.0,85.4
59,345664.0,Boubakary Soumaré,67491.0,Jordan Ayew,91.0,85.1
59,143990.0,Harry Winks,345664.0,Boubakary Soumaré,29.3,68.2
59,345664.0,Boubakary Soumaré,318750.0,Stephy Mavididi,34.1,62.9
60,312670.0,Hamza Choudhury,143990.0,Harry Winks,14.6,0.0
60,143990.0,Harry Winks,345664.0,Boubakary Soumaré,16.0,11.1
60,345664.0,Boubakary Soumaré,97710.0,Conor Coady,20.1,30.7
60,97710.0,Conor Coady,106981.0,Jamie Vardy,6.8,10.6
60,106981.0,Jamie Vardy,67491.0,Jordan Ayew,47.3,25.2
60,67491.0,Jordan Ayew,97710.0,Conor Coady,59.4,6.8
60,97710.0,Conor Coady,345664.0,Boubakary Soumaré,42.2,30.9
60,345664.0,Boubakary Soumaré,318750.0,Stephy Mavididi,53.6,58.8
60,318750.0,Stephy Mavididi,345664.0,Boubakary Soumaré,72.4,88.9
61,312670.0,Hamza Choudhury,134332.0,Bobby De Cordova-Reid,72.6,15.3
62,67491.0,Jordan Ayew,106981.0,Jamie Vardy,83.8,6.2
63,143990.0,Harry Winks,345664.0,Boubakary Soumaré,22.7,23.4
63,345664.0,Boubakary Soumaré,143990.0,Harry Winks,27.5,29.7
63,143990.0,Harry Winks,97710.0,Conor Coady,21.9,29.2
63,97710.0,Conor Coady,299693.0,Wout Faes,14.3,40.6
63,299693.0,Wout Faes,318750.0,Stephy Mavididi,54.9,70.3
64,416970.0,Victor Kristiansen,318750.0,Stephy Mavididi,85.5,100.0
64,318750.0,Stephy Mavididi,345664.0,Boubakary Soumaré,77.3,90.6
64,345664.0,Boubakary Soumaré,312670.0,Hamza Choudhury,68.3,68.8
64,312670.0,Hamza Choudhury,299693.0,Wout Faes,65.3,34.9
